approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;94;90;356;22;0.940418410041841;0.0;0.00016880035400390625;8901.932093858719
Random;200;0;178;191;641;31;0.9454700127605274;0.0;0.0002262592315673828;10165.632364988327
Random;300;0;261;282;989;27;0.9445379093764019;0.0;0.00033974647521972656;19093.07028913498
Random;400;0;343;371;1075;29;0.953339988714788;0.0;0.0003807544708251953;14510.405777454376
Random;500;0;413;460;1476;32;0.9489114257035063;0.0;0.00030350685119628906;23565.93630886078
Longest;100;0;100;100;1353;31;0.8696029298380878;0.0;1.4168472290039062;58745.29029798508
